id_predio,codigo_catastral,superficie_terreno,tipologia_codigo,superficie_construida,anio_construccion,numero_bloques,es_propiedad_horizontal,observaciones
7408e73a-26e5-47de-96c5-5037a3e100b4,046109000080000,1458268.26,,,,1,false,
d90218f7-6a37-437b-a2d5-79ca0155f75e,018058200040000,795168.10,,,,1,false,
3be3f6e3-388f-4694-bea6-86aa0676e357,018058300040000,753011.39,,,,1,false,
f6cce47d-8d66-482f-82f9-916a68fa3116,044250900010000,472468.81,,,,1,false,
05b275a3-ee27-440b-aa88-ab5338ef1d72,031091700010000,400002.56,,,,1,false,
30ecf6c8-e602-493e-a63a-24aa3c9fae53,046026800020000,353396.99,,,,1,false,
3ddf547a-b57c-4a29-a731-e9998ef08b5b,018058200020000,290835.99,,,,1,false,
e6a838b9-9e74-4206-bbfd-9d156be8fc6d,018058200060000,265782.26,,,,1,false,
e3176af8-4495-41af-a702-8128154be555,046109000050000,208940.05,,,,1,false,
ebedd78e-90a6-4119-baf0-4cb13062fd6f,018085100020000,199052.67,,,,1,false,
b79b0682-e3b1-468d-920d-95371db2f1af,047016900020000,192334.53,,,,1,false,
82ddfd0c-70b0-4fa2-ad9f-2a505b52b8d0,044280300010000,165247.87,,,,1,false,
cfc05386-d2d6-4300-90e7-d329d9915ab0,018058300050000,164436.86,,,,1,false,
faea25c2-d265-4ce8-bbbf-941ea69dce2c,046102100010000,155060.69,,,,1,false,
2f2aae89-3bd3-45e3-ac5b-02b854553608,047016900070000,119294.58,,,,1,false,
482d5c0c-558b-40fc-ac38-b0da70be3700,018058200030000,85766.99,,,,1,false,
6f1b6146-ab01-402f-bae0-d5567620f7a1,031112600040000,78778.97,,,,1,false,
30a4276d-c164-4f9e-aa84-2471698f23e2,044254600010000,78016.17,,,,1,false,
29fdd4eb-5c9d-487c-ada9-6415802c5add,031090700010000,75792.49,,,,1,false,
023c5804-4fea-476b-88e7-e6ad1d8a8a31,014002800110000,69764.98,,,,1,false,
2d6e3bf9-80d3-4368-8784-028c55be7746,014002700090000,67120.43,,,,1,false,
6560e0a3-49ff-4067-91ec-ac15392bb1f6,018046900010000,65610.89,,,,1,false,
db18344b-7f85-441f-8fd7-5643027fd297,047016900080000,65104.28,,,,1,false,
a0af7b5f-36ce-42fa-a2b4-2e6631f153b3,046000800010000,64422.05,,,,1,false,
bf37b6ef-95ad-463c-986e-6289debe1c0b,047016900100000,63341.73,,,,1,false,
